,dens,pres,velx,order
16,0.0014261978880471815,3.885780586188048e-16,3.8163916471489756e-16,
32,4.566742303967891e-05,4.128641872824801e-16,3.5735303605122226e-16,4.9648649801220905
64,1.4266391619756347e-06,6.019490461639521e-16,4.874572967494828e-16,5.000472995338197
128,4.454673326395597e-08,6.435824095873954e-16,4.926614671774132e-16,5.0011570329300605
256,1.391832761890588e-09,9.58434720477186e-16,8.912141857830846e-16,5.000261861622783
512,4.350298897157212e-11,1.0224026486538307e-15,9.935628708657163e-16,4.999727533815983
1024,1.6334774245035932e-12,2.001003529539247e-15,1.5807667674838655e-15,4.735096106762805
