,dens,pres,velx,order
16,0.0013565535845562748,7.494005416219807e-16,6.591949208711867e-16,
32,4.366113353240775e-05,1.1587952819525071e-15,1.6237011735142914e-15,4.957452639576033
64,1.3850436738939431e-06,1.925543058334256e-15,3.056582764671134e-15,4.978346212241404
128,4.372100100014098e-08,2.1206994493816467e-15,4.562322741819003e-15,4.985461226403239
256,1.375518985172186e-09,9.861469280059154e-15,7.265889279128857e-15,4.990278474896109
512,4.314276279976381e-11,4.4267324181279655e-14,9.178638751827783e-15,4.994713674366811
1024,1.5808732361372035e-12,1.6532771245775235e-13,1.0339819278559759e-14,4.770324974010831
