,dens,pres,velx,order
16,0.0013565535845664195,1.0408340855860843e-15,8.396061623727746e-16,
32,4.366113353714007e-05,1.3461454173580023e-15,1.4155343563970746e-15,4.957452639430451
64,1.3850436734672011e-06,2.282896094385478e-15,3.566591466608315e-15,4.978346212842279
128,4.372099657312667e-08,2.79810896675059e-15,6.538172780956586e-15,4.985461372040291
256,1.375515886956058e-09,9.315898746864448e-15,9.182325039214234e-15,4.990281578341548
512,4.314077914346903e-11,4.434928986551956e-14,1.1827995180513362e-14,4.994776759879739
1024,1.7715210808705306e-12,1.6680070952929116e-13,1.6216628734300187e-14,4.6059916939538725
