,dens,velx,vely,pres,eTime,order,speed_up
50,0.6947579421017894,1.1851717287918437,1.187648793510492,0.9747492169160906,1.407142,,0.38
100,0.0557732921915651,0.14442589840193673,0.14455270131122788,0.07635612311131386,10.822432,3.6388640834850783,0.39
200,0.002885209653853675,0.008534500755090354,0.008494220193504314,0.004015084466273967,83.209265,4.272826371767005,0.39
400,0.0001250716872046816,0.00035524954005757003,0.00035034067701699334,0.00015822769957272417,652.180467,4.527849011124728,0.38
