,dens,velx,vely,pres,eTime,order,speed_up
50,0.7218799071349958,1.2469128084591958,1.2520434618182354,1.0078288683504062,3.734979,,1.0
100,0.057570899483746524,0.151258873190265,0.15161269343133385,0.07902541812264367,27.505464,3.6483471903707727,1.0
200,0.002942861005133615,0.008927785044427145,0.008860898679236135,0.004181980538384393,214.435359,4.290048444220637,1.0
400,0.00012233341687215878,0.00037089811332504383,0.0003657902101112355,0.00016495447548590687,1727.71177,4.5883289510193475,1.0
