,dens,velx,vely,pres,eTime,order,speed_up
50,0.6947580803960006,1.1851713770521621,1.1876483837575422,0.9747489564579651,1.28106,,0.34
100,0.05577345675600097,0.144425583753408,0.14455233870904008,0.07635575313024884,9.972439999999999,3.638860113855488,0.36
200,0.002885273814957193,0.00853416484297557,0.008493899175065057,0.0040148639746915805,79.850189,4.27279854636929,0.37
400,0.00012514224561290536,0.0003550790370765402,0.00035017862377979386,0.00015818350429863185,647.808284,4.527067435451741,0.37
