,dens,pres,velx,order
32,6.573020791128537e-05,4.128641872824801e-16,3.712308238590367e-16,
64,4.570816180771153e-06,5.082739784612045e-16,3.7296554733501353e-16,3.8460328424236025
128,4.588986072320833e-07,4.172009959724221e-16,3.5735303605122226e-16,3.3162044676538165
256,5.3921564660379395e-08,5.577135975265435e-16,5.195496810550537e-16,3.089241162731486
512,6.633309421709421e-09,6.290541004760897e-16,5.282232984349378e-16,3.023061630841487
1024,8.261314744274773e-10,6.304635633003208e-16,5.415589851565095e-16,3.005285522079061
