,dens,pres,velx,order
32,6.252011405216001e-05,1.1136924715771102e-15,1.4432899320127035e-15,
64,4.465727037755024e-06,1.384309333829492e-15,2.1788126858268697e-15,3.807353434220436
128,4.5558798881552287e-07,2.050443148604586e-15,3.4468955467659157e-15,3.2930934535903815
256,5.381780977462003e-08,3.4273799076611766e-15,5.590146401335261e-15,3.0815741282640388
512,6.630048792095888e-09,3.55574944488346e-15,7.619772868228125e-15,3.020992286136676
1024,8.260084120598893e-10,3.903453081599562e-15,1.004578364938169e-14,3.004791108289288
