,dens,pres,velx,order
32,6.252011405639968e-05,1.547373340571312e-15,1.6167622796103842e-15,
64,4.46572703740114e-06,1.826663820203578e-15,2.491062911502695e-15,3.8073534344325943
128,4.5558798799326394e-07,2.7000970903579002e-15,3.8719027983802334e-15,3.2930934560798755
256,5.381780947017606e-08,3.753507921144816e-15,6.267555918704204e-15,3.0815741338214546
512,6.630044318677725e-09,5.746922035476665e-15,1.0000463998571796e-14,3.0209932513891484
1024,8.259972864108761e-10,7.516665241624754e-15,1.5965419090935296e-14,3.0048095669134636
