,dens,velx,vely,pres,eTime,order
120,0.061561774092673716,0.13561612379934665,0.13554445944037347,0.07500247990040058,0.7136078376206569,
200,0.007959222787502605,0.01796010611618946,0.01793311891808587,0.008650071262227027,2.7744658167939633,4.004712522180851
400,0.0003860919513497783,0.0007686345615557865,0.0007636231345077368,0.00033407283370913426,19.89106891999836,4.365611174870372
800,1.5105184812948713e-05,3.021986302745594e-05,2.9420808977402627e-05,1.3065859427537528e-05,153.91569902238552,4.675828738752518
1600,6.949689685079552e-07,1.492422693334843e-06,1.4281754313326274e-06,7.40914602338069e-07,1203.1028145200107,4.44195146481917
3200,5.607190188086122e-08,1.1498137817145803e-07,1.0756752435875981e-07,6.653397512194297e-08,9494.650765975995,3.631598650645557
