,dens,velx,vely,pres,eTime,order
120,0.03314027898093692,0.19349032448055556,0.1913234899398795,0.04765740750853696,0.6912387711927295,
200,0.0026813885311369728,0.018124390075437095,0.0180742428176699,0.0039037377848383454,2.587888211128302,4.922256332201515
400,0.0001079315561795838,0.0007455788749649287,0.0007422980220355728,0.00014887115899058322,17.76283942803275,4.634791644426996
800,5.029195384468264e-06,2.4971072366779434e-05,2.4545783357000835e-05,6.5319772646134035e-06,141.844442298403,4.423645316831613
1600,4.6059092268603563e-07,2.9378049423423953e-06,2.8188282547880843e-06,5.915472233430226e-07,1072.8006806847407,3.4487697193459965
3200,8.39507831539672e-08,1.5874409024121346e-06,1.5525282293220334e-06,1.1003020697951265e-07,8471.091030488024,2.455870289968052
