,dens,velx,vely,pres,eTime,order
120,0.026999404157868362,0.13205984502571383,0.13992888493180086,0.04312265795751569,1.357401462388225,
200,0.004166615539419879,0.020813262671452344,0.02106479063813566,0.006388899244262046,4.971970228012651,3.658216474599066
400,0.00019440317786508152,0.0012945238145211624,0.0012957154011120178,0.00032749836892345696,33.39368015760556,4.421752278637998
800,7.0696427476045505e-06,4.9936473882087356e-05,4.9995094957478856e-05,1.192276620462056e-05,252.07963526400272,4.781270679591195
1600,2.2810953633117634e-07,1.6109540608957214e-06,1.6133409416209347e-06,3.850454526013303e-07,1944.680034657591,4.953838646501251
3200,7.483231024476429e-09,5.075891472863088e-08,5.0808638859295614e-08,1.2418976502786771e-08,15514.252286217641,4.929921635789737
